ID do comentário,ID do canal,Carimbo de data/hora em que o comentário foi criado,Preço,ID do vídeo,Texto do comentário
UgwzSeR3BbAcN0jq47h4AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-05-23T18:53:25.124538+00:00,0,e-zKwhPVmrc,"{""text"":""Bom""}"
UgwOySbuGDJvaCOzbBx4AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-05-23T18:52:36.008769+00:00,0,W5GM33NabB0,"{""text"":""Bom""}"
UgwSBdMmPmwqjPas1lp4AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-05-23T18:16:27.345887+00:00,0,YR3UovgnCso,"{""text"":""Bom""}"
Ugx7L7E2qJp2Uha2Itp4AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-05-23T18:10:58.268733+00:00,0,HFQaFS06kV4,"{""text"":""Bom""}"
UgwbmnRkKNv-KTm6GbF4AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-05-23T18:04:48.143241+00:00,0,xfzbitbOvD0,"{""text"":""Bom""}"
Ugx4zVjYWi_-FkUZoCJ4AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-05-22T19:15:45.777649+00:00,0,1j15VTX_Yxc,"{""text"":""Bom""}"
UgzVaJa0RIRFLL9TMDl4AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-05-22T19:14:50.606591+00:00,0,lJRylQ7aKqM,"{""text"":""Bom""}"
UgygvH9V0FwP34i9OaR4AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-05-22T18:54:29.982632+00:00,0,1r_vKpiKuzI,"{""text"":""Bom""}"
UgwSaFz0bdBRk7TQdHF4AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-05-22T18:48:11.328488+00:00,0,t53UEG7k8RI,"{""text"":""Bom""}"
Ugz6x5324y3vkT7Uh8x4AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-05-22T18:43:46.413437+00:00,0,1bn8cQ-9-KM,"{""text"":""Bom""}"
Ugz044qMRWyCoLIPIaV4AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-05-21T18:59:25.855221+00:00,0,j7LKJzh0ghc,"{""text"":""Muito Bom""}"
Ugz3KVq_397l87dZAUB4AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-05-21T18:56:50.430005+00:00,0,qXbWq1_gWNg,"{""text"":""Muito Bom""}"
UgzcwM8wmcdIuzyVMZ14AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-05-21T18:48:09.863671+00:00,0,tWlwIMPdmSA,"{""text"":""Bom""}"
UgzIH5_w2hZ1Vtyu95d4AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-05-21T18:41:48.902633+00:00,0,FHzyXILcc-8,"{""text"":""Bom""}"
UgwLEF2DNzexRwV8TTN4AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-05-21T18:30:07.16641+00:00,0,ezPQyB6iXg0,"{""text"":""Bom""}"
Ugy1N3CoRjohB3E0LWp4AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-05-20T18:42:36.571305+00:00,0,2VAmL_yzqCo,"{""text"":""Bom video""}"
Ugz1iCZsmev-j8nbt3N4AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-05-20T18:40:20.211031+00:00,0,lXEtC3Y9sqY,"{""text"":""Muito Bom""}"
UgyFS1J1VvJNaZBK4cx4AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-05-20T18:39:09.784572+00:00,0,p1uaRRSLZsE,"{""text"":""Bom""}"
Ugz_CSk6ywBhegpJYJd4AaABAg,UCrHsJfFvvBfrYj_RYjilBgg,2025-05-20T18:28:57.949025+00:00,0,fRRPpxeq4P4,"{""text"":""Bom""}"





