Profile Name/ID,Video ID,Title,Author Channel,Action,Was commented,Comment,Date,Time,Tags,Rating
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,2XIDCFdWtPQ,COMO COMEÇAR O DELIVERY DE MARMITAS EM CASA DO ZERO EM APENAS 7 DIAS 🍲,Delivery de Alto Nivel,Watched,0,-,21-05-2025,16:06:36,"vídeo, compartilhamento, celular com câmera, videofone, gratuito, envio",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,tuDc4F5lMbA,9 MARCAS de ROUPAS MASCULINAS para HOMENS ELEGANTES (com Balbi) | MODA MASCULINA 2025,Edson Castro [Oficial],Watched,0,-,21-05-2025,16:06:49,"edson castro, edson castro mhm, mhm edson castro, moda masculina, roupas masculinas, roupa masculina, homem elegante, roupas homem elegante, BALBI, moda 2025 masculina, moda 2025, roupas masculinas para 2025, moda masculina 2025, gustavo balbi, marcas de roupas masculinas, onde comprar roupas masculinas, roupas, moda para 2025",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,FIs5-zAYe88,PIZZA DE FRIGIDEIRA FÁCIL DE FAZER | Léo Abreu,Como faz,Watched,0,-,21-05-2025,16:07:04,"bistek, leo abreu, leonardo abreu, supermercado, receita de pizza, pizza de frigideira, receita na frigideira, pizza, queijo, receita fácil",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,sHi12YgLNF8,"ABRI UMA AÇAÍTERIA EM CASA COM R$ 332,00",Ale Manzepi,Watched,0,-,21-05-2025,16:07:23,"vídeo, compartilhamento, celular com câmera, videofone, gratuito, envio",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,j7LKJzh0ghc,MAC N’ CHESSE COM FRANGO EMPANADO,Leonardo Abreu,Watched,0,-,21-05-2025,15:59:14,"leonardo abreu, leo abreu, receita, receita fácil, receita rápida, masterchef, Mac n cheese, Mac and cheese, macarrão com queijo, macarrão, como fazer Mac n cheese, como fazer molho branco, molho branco, bechamel, receita bechamel, receita molho branco, receita Mac and cheese, molho de queijo, molho branco com queijo, frango empanado, como fazer bechamel",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,1r_vKpiKuzI,23 MELHORES MARCAS PRA COMPRAR UM TIPO DE ROUPA | MODA MASCULINA 2025,Edson Castro [Oficial],Watched,0,-,22-05-2025,16:13:13,"edson castro, edson castro mhm, mhm edson castro, moda, moda masculina 2025, moda 2025 masculina, moda 2025, moda masculina, moda para homens 2025, moda para homens, moda homens 2025, melhores marcas, melhor marca, a melhor marca",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,1j15VTX_Yxc,"CUPIM NA PRESSÃO 🥩🔥CARNE MACIA, SUCULENTA E CHEIA DE SABOR SEM COMPLICAÇÃO",Não custa tentar!,Watched,0,-,22-05-2025,16:15:15,"nctr10, cupim na pressão, carne de panela, cupim macio, como fazer cupim, receita fácil de cupim, carne suculenta, panela de pressão, almoço simples, carne cozida, cupim desfiando, carne saborosa, receita com carne, prato principal, carne assada na pressão, cupim rápido, carne econômica, churrasco de panela, cupim para almoço, receita caseira, cupim suculento, carne bovina, receita tradicional, comida afetiva, cupim na marmita, carne com sabor, receita de cupim, cupim",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,1bn8cQ-9-KM,POV- A solo barista working through a lunch rush...,ConnorDoesCoffee,Watched,0,-,22-05-2025,15:42:29,"vídeo, compartilhamento, celular com câmera, videofone, gratuito, envio",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,t53UEG7k8RI,LASANHA DE MASSA FRESCA AO MOLHO QUATRO QUEIJOS!,Leonardo Abreu,Watched,0,-,22-05-2025,15:47:40,"leonardo abreu, leo abreu, receita, receita fácil, lasanha, receita de lasanha, lasanha com massa fresca, lasanha quatro queijos, quatro queijos, massa fresca, massa fresca para lasanha, como fazer lasanha, lasanha fácil, melhor massa fresca, molho quatro queijos, 4 queijos, lasanha de abobrinha, molho de espinafre, lasanha de espinafre, molho branco, melhor lasanha",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,TDMZOq-22TE,VALE a PENA comprar um RELÓGIOS HOMAGE? | MODA MASCULINA 2025,Edson Castro [Oficial],Watched,0,-,22-05-2025,16:09:55,"edson castro, edson castro mhm, mhm edson castro, castrinho, ed castro, mhm, relógio homage, relógio homage vale a pena, vale a pena relogio homage, relogio homage, moda masculina, moda masculina 2025, moda 2025 masculina, moda 2025, moda para 2025, moda, relógio masculino, relógio masculino para 2025",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,lJRylQ7aKqM,Process of Making Beautifully Crafted Bifold Leather Wallet. Korean Leather Specialist,Factory Monster,Watched,0,-,22-05-2025,16:13:32,"factorymonster, process of making, yt:cc=on, 팩토리몬, 가죽지갑, bifold",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,RKWLu6UHryQ,McDonald's POV: Lunch | Solo Food Assembly,Stephen Patula,Watched,0,-,22-05-2025,16:18:10,"mcdonalds, cheese, mcd, pov, milad, deluxe, work, mcds, working at mcdonalds, working, morgann book, dairy queen, approved",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,hwP563DlriE,O Guia Definitivo de Afiação Para Iniciantes,Riq Monteiro,Watched,0,-,22-05-2025,16:18:24,"vídeo, compartilhamento, celular com câmera, videofone, gratuito, envio",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,BWcheqcOFzc,Nova Cozy T03 V2: MELHORARAM o que já era bom,Liberty TGP,Watched,0,-,22-05-2025,16:18:38,"cadeira ergonomica custo benefício, cozy t03, cadeira cozy t03, cadeira elements sophy, cadeira nemesis elements, review nemesis elements, cadeira ergonomica gamer, cadeira para setup, melhor cadeira pro setup, cadeira gamer ergonomica, cadeira ergonomica, cadeira, cadeira ergonômica, cadeira pc branca, cadeira ergonômica branca, cadeira setup gamer, cadeira setup, cadeira custo benefício, cadeira ergonomica branca, cadeira escritório branca, cadeira escritório ergonomica",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,MwoBWmFh1Sw,Cafe Vlog Mini Coffee Shop Cat Bar Kopi Barista Dream Small Business Ideas Relaxing Mood Street Food,Tasty Inside,Watched,0,-,22-05-2025,16:18:54,"vídeo, compartilhamento, celular com câmera, videofone, gratuito, envio",-
Pedro Coimbra UCrHsJfFvvBfrYj_RYjilBgg,AuBFsKx2R6c,FRANGO DESFIADO PERFEITO PARA DIETA!,Leonardo Abreu,Watched,0,-,22-05-2025,16:17:54,"leonardo abreu, leo abreu, receita, receita fácil, receita rápida, receita com frango, como fazer frango, peito de frango, como fazer peito de frango, frango desfiado, como fazer frango desfiado, receita de frango desfiado, peito de frango desfiado, como congelar frango desfiado, receita light, receita para dieta, frango para dieta, peito de frango fit, receita fit, receita fitness, marmita fit, masterchef, gastronomia, como fazer marmita fit, dieta",-
